stop_name,lat,lon,time_mins,main_mode
Sagunto,40.43389,-3.6984,21.05,metro
Santa Engracia,40.43475,-3.69853,22.683333333333334,metro
IGLESIA,40.43492,-3.69898,23.0,metro
Eloy Gonzalo impares,40.4349,-3.69932,23.5,metro
Luchana - Ascensor,40.42904,-3.70166,18.566666666666666,metro
BILBAO,40.42906,-3.70218,18.516666666666666,metro
Fuencarral,40.42926,-3.70193,18.816666666666666,metro
Francisco de Rojas,40.43029,-3.70023,19.8,metro
Manuela Malasaña,40.42876,-3.70206,17.716666666666665,metro
Trafalgar,40.43047,-3.70032,18.6,metro
Chamartín,40.4721,-3.68269,32.233333333333334,metro
LA ELIPA,40.42662,-3.65052,24.883333333333333,metro
Ascensor,40.42651,-3.65042,25.383333333333333,metro
VENTAS,40.43088,-3.66366,23.466666666666665,metro
MANUEL BECERRA,40.4279,-3.66926,15.8,metro
Avda. Marqués de Corbera,40.42647,-3.65071,25.183333333333334,metro
Plaza de Toros,40.43104,-3.66329,24.283333333333335,metro
Doctor Esquerdo,40.42762,-3.66927,16.533333333333335,metro
Plaza de Toros,40.4312,-3.66338,24.583333333333332,metro
GOYA,40.42455,-3.67591,21.4,metro
General Díaz Porlier,40.42478,-3.67758,21.85,metro
Ascensor ext nº3 a A1 L2,40.42422,-3.67615,22.333333333333332,metro
Ascensor ext nº4 a A2 L4,40.42494,-3.67662,21.866666666666667,metro
Ascensor ext nº5 a A2 L4,40.42495,-3.67666,21.816666666666666,metro
Ascensor exterior,40.42441,-3.67734,22.1,metro
Conde de Peñalver pares,40.42499,-3.67556,24.166666666666668,metro
Conde de Peñalver impares,40.42508,-3.67581,24.933333333333334,metro
Felipe II pares,40.4239,-3.67614,30.75,metro
Alcalá,40.42308,-3.67976,23.033333333333335,metro
PRINCIPE DE VERGARA,40.42294,-3.68012,22.433333333333334,metro
Príncipe de Vergara - Ascensor 2,40.4233,-3.68041,23.616666666666667,metro
Lagasca,40.42082,-3.68582,25.35,metro
RETIRO,40.42031,-3.68624,23.766666666666666,metro
Rampa,40.42096,-3.68581,25.55,metro
Claudio Coello,40.42044,-3.6871,26.266666666666666,metro
Arriaga,40.42374,-3.63925,28.566666666666666,metro
LA ALMUDENA,40.42361,-3.63914,27.616666666666667,metro
Ascensor Exterior Nº1,40.41806,-3.62326,35.36666666666667,metro
Avenida de Guadalajara,40.41864,-3.62319,33.65,metro
ALSACIA,40.41829,-3.62351,31.166666666666668,metro
Dresde,40.42233,-3.61196,35.78333333333333,metro
Ascensor Exterior,40.42246,-3.61162,35.166666666666664,metro
Ascensor Exterior Nº 2,40.41861,-3.6234,33.25,metro
Paseo de Ginebra,40.4239,-3.60366,36.733333333333334,metro
LAS ROSAS,40.42375,-3.60331,36.016666666666666,metro
Palacio de Buenavista,40.41937,-3.69419,23.683333333333334,metro
AVENIDA DE GUADALAJARA,40.42239,-3.61206,33.86666666666667,metro
Marqués de Cubas,40.41874,-3.69563,25.866666666666667,metro
BANCO DE ESPAÑA,40.41922,-3.69497,24.333333333333332,metro
Banco de España,40.41895,-3.69451,24.65,metro
SEVILLA,40.41805,-3.69925,27.666666666666668,metro
Alcalá,40.41807,-3.69913,28.083333333333332,metro
SOL,40.41685,-3.70326,21.833333333333332,metro
OPERA,40.41809,-3.70942,21.85,metro
Campomanes,40.41823,-3.70935,22.5,metro
SANTO DOMINGO,40.42132,-3.70796,20.766666666666666,metro
SAN BERNARDO,40.43001,-3.70557,21.35,metro
Santo Domingo,40.42044,-3.7086,21.933333333333334,metro
Alberto Aguilera,40.42988,-3.70604,22.233333333333334,metro
NOVICIADO,40.42484,-3.70742,17.633333333333333,metro
Gran Vía,40.4213,-3.70778,20.833333333333332,metro
Arapiles,40.43339,-3.70472,18.633333333333333,metro
Fuencarral,40.43311,-3.70434,17.683333333333334,metro
QUEVEDO,40.43322,-3.70433,17.516666666666666,metro
CANAL,40.43841,-3.70433,15.75,metro
Carranza,40.42967,-3.7053,20.85,metro
Bravo Murillo pares,40.43832,-3.70412,17.033333333333335,metro
CUATRO CAMINOS,40.44697,-3.70392,9.85,metro
Bravo Murillo impares,40.43825,-3.70434,16.15,metro
Ascensor,40.43846,-3.70441,15.816666666666666,metro
Ascensor,40.38389,-3.69837,41.88333333333333,metro
ALMENDRALES,40.38409,-3.69788,41.833333333333336,metro
Glorieta de Málaga,40.37549,-3.69588,46.583333333333336,metro
HOSPITAL 12 DE OCTUBRE,40.37503,-3.69585,50.63333333333333,metro
Ascensor,40.37521,-3.69575,46.38333333333333,metro
Avda. Córdoba impares,40.3842,-3.69788,42.0,metro
Avda. Andalucia pares,40.36988,-3.69462,49.28333333333333,metro
SAN FERMIN-ORCASUR,40.36999,-3.69418,49.6,metro
CIUDAD DE LOS ANGELES,40.35959,-3.69363,54.7,metro
Paseo Gigantes y Cabezudos,40.36005,-3.69367,54.05,metro
Tertulia,40.35954,-3.69295,56.36666666666667,metro
Ascensor,40.35973,-3.69366,54.5,metro
VILLAVERDE BAJO CRUCE,40.35089,-3.69265,62.266666666666666,metro
Santa Petronila,40.35109,-3.69256,61.36666666666667,metro
Ministerio de Justicia,40.4242,-3.70746,17.1,metro
SAN CRISTOBAL,40.34154,-3.69318,68.7,metro
LEGAZPI,40.39116,-3.69511,28.283333333333335,metro
Plaza de Legazpi,40.39159,-3.69484,29.65,metro
Beata María Ana de Jesús,40.39328,-3.69493,31.983333333333334,metro
Moncada,40.34112,-3.69249,70.2,metro
Santiago Amón,40.35057,-3.69335,60.55,metro
Ascensor,40.34145,-3.69248,69.65,metro
Plaza de Legazpi esquina Bolivar,40.39139,-3.69454,28.916666666666668,metro
Ascensor,40.39147,-3.69463,29.15,metro
DELICIAS,40.3999,-3.6942,33.38333333333333,metro
Cáceres,40.39861,-3.69433,35.13333333333333,metro
PALOS DE LA FRONTERA,40.40307,-3.69423,36.166666666666664,metro
Palos de la Frontera impares,40.40316,-3.6944,34.81666666666667,metro
Paseo de las Delicias,40.40293,-3.69396,31.633333333333333,metro
